iter	MultiClass
0	1.759376504
1	1.731908413
2	1.710001985
3	1.690708429
4	1.672640998
5	1.655880498
6	1.64109156
7	1.62813091
8	1.615903945
9	1.603472149
10	1.592049809
11	1.581227139
12	1.571845657
13	1.562498315
14	1.553703297
15	1.546475632
16	1.539977178
17	1.532265095
18	1.525922465
19	1.519422042
20	1.51291549
21	1.506828837
22	1.500506687
23	1.49575692
24	1.490699596
25	1.485835252
26	1.4808353
27	1.476241618
28	1.4718934
29	1.467593021
30	1.464338758
31	1.460744222
32	1.456903391
33	1.453359601
34	1.450141788
35	1.44727471
36	1.443688149
37	1.440778555
38	1.437653913
39	1.4344972
40	1.431748811
41	1.428397006
42	1.425969423
43	1.423426008
44	1.420994727
45	1.418478966
46	1.416766345
47	1.414439733
48	1.412874819
49	1.410494227
50	1.408699702
51	1.407145417
52	1.405058022
53	1.402871724
54	1.400477384
55	1.398536626
56	1.396432395
57	1.394330957
58	1.3924045
59	1.391143579
60	1.389313019
61	1.387015005
62	1.385018123
63	1.382568944
64	1.381198316
65	1.379913503
66	1.378411017
67	1.376929868
68	1.375483698
69	1.37361329
70	1.372296074
71	1.370288268
72	1.369043523
73	1.367550427
74	1.366254714
75	1.365221273
76	1.363375672
77	1.3615974
78	1.360524174
79	1.358827798
80	1.357688699
81	1.356714273
82	1.355405855
83	1.353652302
84	1.352429119
85	1.351583675
86	1.350066234
87	1.34868679
88	1.347445632
89	1.346623394
90	1.345035231
91	1.343873067
92	1.341976711
93	1.34031498
94	1.339140192
95	1.337318735
96	1.335877441
97	1.33444011
98	1.33313214
99	1.332230384
100	1.330786651
101	1.329983554
102	1.328499016
103	1.327163759
104	1.326195351
105	1.325214219
106	1.323887703
107	1.322712607
108	1.321500172
109	1.320400426
110	1.319373547
111	1.318332941
112	1.317548796
113	1.316008222
114	1.314767843
115	1.313121595
116	1.311941211
117	1.310848584
118	1.309425752
119	1.308247738
120	1.307018594
121	1.30562968
122	1.304245358
123	1.303120656
124	1.301753212
125	1.300372541
126	1.299242398
127	1.298496623
128	1.297140792
129	1.296050044
130	1.294397362
131	1.293019388
132	1.291836042
133	1.290455585
134	1.289529798
135	1.288343785
136	1.287622679
137	1.286944498
138	1.285961772
139	1.284863839
140	1.28347101
141	1.282580973
142	1.28120931
143	1.280281727
144	1.279278917
145	1.278538647
146	1.277472939
147	1.276614042
148	1.275626326
149	1.274569341
150	1.273444434
151	1.272314245
152	1.271090949
153	1.270635609
154	1.269585982
155	1.26878551
156	1.26806553
157	1.267272047
158	1.26625582
159	1.265195008
160	1.264322815
161	1.263541895
162	1.262521923
163	1.261472834
164	1.260243226
165	1.259397061
166	1.258396326
167	1.257355682
168	1.25616988
169	1.255153879
170	1.25423257
171	1.253509768
172	1.252431384
173	1.251245955
174	1.249872449
175	1.249024392
176	1.248282092
177	1.247251648
178	1.246192531
179	1.245113131
180	1.24391063
181	1.243302867
182	1.242513878
183	1.242154831
184	1.241505291
185	1.240484118
186	1.23951705
187	1.238729157
188	1.237788388
189	1.236612543
190	1.23593283
191	1.234993496
192	1.234414483
193	1.233299114
194	1.232666936
195	1.231622691
196	1.230729015
197	1.229468338
198	1.228273586
199	1.227252032
