iter	Passed	Remaining
0	182	36269
1	195	19369
2	209	13737
3	221	10840
4	232	9058
5	242	7853
6	255	7048
7	274	6589
8	286	6081
9	298	5670
10	307	5276
11	316	4960
12	325	4683
13	338	4499
14	350	4318
15	359	4133
16	370	3989
17	382	3869
18	392	3739
19	402	3626
20	414	3531
21	426	3447
22	438	3375
23	448	3292
24	457	3201
25	466	3123
26	476	3055
27	485	2984
28	496	2927
29	504	2860
30	519	2832
31	536	2817
32	556	2815
33	591	2888
34	605	2855
35	613	2795
36	623	2748
37	633	2698
38	643	2655
39	654	2619
40	667	2589
41	679	2554
42	691	2525
43	703	2495
44	715	2465
45	727	2434
46	742	2418
47	756	2396
48	767	2364
49	780	2342
50	788	2302
51	796	2267
52	804	2230
53	812	2196
54	820	2161
55	827	2129
56	836	2099
57	844	2067
58	852	2036
59	859	2006
60	874	1992
61	890	1981
62	903	1964
63	919	1953
64	931	1935
65	939	1908
66	947	1881
67	954	1853
68	963	1828
69	970	1803
70	979	1779
71	986	1753
72	994	1730
73	1004	1709
74	1013	1688
75	1032	1684
76	1048	1674
77	1059	1656
78	1068	1637
79	1080	1620
80	1088	1598
81	1095	1575
82	1100	1551
83	1108	1530
84	1114	1507
85	1122	1487
86	1128	1466
87	1140	1450
88	1149	1433
89	1168	1427
90	1181	1414
91	1193	1401
92	1206	1388
93	1219	1375
94	1230	1360
95	1241	1345
96	1253	1331
97	1305	1358
98	1322	1349
99	1332	1332
100	1345	1318
101	1356	1303
102	1363	1283
103	1373	1267
104	1380	1248
105	1392	1234
106	1403	1219
107	1411	1202
108	1421	1186
109	1427	1168
110	1438	1153
111	1456	1144
112	1472	1133
113	1484	1119
114	1491	1102
115	1501	1086
116	1507	1069
117	1517	1054
118	1526	1039
119	1536	1024
120	1542	1006
121	1551	992
122	1559	976
123	1568	961
124	1576	945
125	1590	934
126	1605	922
127	1618	910
128	1630	897
129	1645	886
130	1661	875
131	1675	863
132	1689	851
133	1709	842
134	1725	830
135	1746	821
136	1771	814
137	1788	803
138	1801	790
139	1817	778
140	1832	766
141	1848	755
142	1864	743
143	1895	737
144	1927	731
145	1944	719
146	1962	707
147	1977	694
148	1996	683
149	2009	669
150	2025	657
151	2034	642
152	2045	628
153	2064	616
154	2080	603
155	2090	589
156	2096	574
157	2105	559
158	2111	544
159	2121	530
160	2127	515
161	2135	501
162	2141	486
163	2147	471
164	2155	457
165	2161	442
166	2170	428
167	2176	414
168	2186	401
169	2200	388
170	2211	375
171	2222	361
172	2234	348
173	2242	335
174	2252	321
175	2265	308
176	2272	295
177	2280	281
178	2287	268
179	2296	255
180	2304	241
181	2311	228
182	2318	215
183	2326	202
184	2335	189
185	2348	176
186	2357	163
187	2369	151
188	2375	138
189	2382	125
190	2388	112
191	2397	99
192	2403	87
193	2412	74
194	2417	61
195	2425	49
196	2432	37
197	2438	24
198	2449	12
199	2458	0
